 Bebop,NNP
 In,IN
 the,DT
 year,NN
2071,CD
",",","
 humanity,NN
 has,VBN
 colonized,VBD
 several,NNP
 of,IN
 the,DT
 planets,NNS
 and,CC
 moons,NNS
 of,IN
 the,DT
 solar,JJ
 system,NN
 leaving,VBG
 the,DT
 now,RB
 uninhabitable,JJ
 surface,NN
 of,IN
 planet,NN
 Earth,INNP
 behind,RB
 .,.
 The,DT
 Inter,JJ
 Solar,JJ
 System,NN
 Police,NN
 attempts,VBZ
 to,TO
 keep,VB
 peace,NN
 in,IN
 the,DT
 galaxy,NN
",",","
 aided,VBD
 in,IN
 part,NN
 by,IN
 outlaw,NN
 bounty,NN
 hunters,NNS
",",","
 referred,VBD
 to,TO
 as,IN
 ``,""""
 Cowboys,NNP
 .,.
" """"",""""
 The,DT
 ragtag,JJ
 team,NN
 aboard,IN
 the,DT
 spaceship,NN
 Bebop,NNP
 are,VBP
 two,CD
 such,WDT
 individuals,NNS
 .,
 Mellow,JJ
 and,CC
 carefree,JJ
 Spike,NNP
 Spiegel,NNP
 is,VBZ
 balanced,JJ
 by,IN
 his,PP
 boisterous,JJ
",",","
 pragmatic,JJ
 partner,
 Jet,NNP
 Black,NNP
 as,IN
 the,DT
 pair,NN
 makes,VBZ
 a,DT
 living,NN
 chasing,VBG
 bounties,NNS
 and,CC
 collecting,VBG
 rewards,NNS
 .,.
 Thrown,VBN
 off,RP
 course,NN
 by,IN
 the,DT
 addition,NN
 of,IN
 new,JJ
 members,NNS
 that,WDT
 they,PP
 meet,VB
 in,IN
 their,PP
 travels,VBZ
",",","
 a,DT
 genetically,RB
 engineered,JJ
",",","
 highly,RB
 intelligent,JJ
 Welsh,NNP
 Corgi,NNP
 ;,;
 femme,NN
 fatale,NN
 Faye,NNP
 Valentine,NNP
",",","
 an,DT
 enigmatic,JJ
 trickster,NN
 with,IN
 memory,NN
 loss,NN
 ;,;
 and,CC
 the,DT
 strange,JJ
 computer,NN
 whiz,NN
 kid,NN
 Edward,NNP
 Wong—the,NNP
 crew,NN
 embarks,VBZ
 on,IN
 thrilling,JJ
 adventures,NNS
 that,WDT
 unravel,VB
 each,DT
 member,NN
s,POS
dark,JJ
and,CC
mysterious,JJ
past,NN
little,JJ
by,IN
little,JJ
.,.
with,IN
high,JJ
density,NN
action,VB
and,CC
light-hearted,JJ
comedy,NN
",",","
Cowboy,NNP
Bebop,NNP
is,VBZ
a,DT
space,NN
Western,NNP
classic,JJ
and,CC
an,DT
homage,NN
to,TO
the,DT
smooth,JJ
and,CC
improvised,VBD
music,NN
it,PRP
is,VBZ
named,VBD
after,IN
.,.
[,(
Written,VBN
by,IN
MAL,NNP
Rewrite,NNP
],)
nan,SYM
nan,SYM
Cowboy,NNP
Bebop,NNP
:,:
Tengoku,NNP
no,NNP
Tobira,NNP
Another,DT
day,NN
",",","
another,DT
bounty—such,NN
is,VBZ
the,DT
life,NN
of,IN
the,DT
often,RB
unlucky,JJ
crew,NN
of,IN
the,DT
Bebop,NNP
.,.
However,RB
",",","
this,DT
routine,NN
is,VBZ
interrupted,VBD
when,WRB
Faye,NNP
",",","
who,WP
is,VBZ
chasing,VBG
a,DT
fairly,RB
worthless,JJ
target,NN
on,IN
Mars,NNP
",",","
witnesses,NN
an,DT
oil,NN
tanker,NN
suddenly,RB
explode,VB
",",","
causing,VBG
mass,NN
hysteria,NN
.,.
As,IN
casualties,NNS
mount,VB
due,JJ
to,TO
a,DT
strange,JJ
disease,NN
spreading,VBG
through,IN
the,DT
smoke,NN
from,IN
the,DT
blast,NN
",",","
a,DT
whopping,VBG
three,CD
hundred,CD
million,CD
woolong,NN
price,NN
is,VBZ
placed,VBD
on,IN
the,DT
head,NN
of,IN
the,DT
supposed,VBD
perpetrator,NN
.,.
With,IN
lives,NNS
at,IN
stake,NN
and,CC
a,DT
solution,NN
to,TO
their,PP
money,NN
problems,NNS
in,IN
sight,NN
",",","
the,DT
Bebop,NNP
crew,NN